state,sat_18_participation,sat_18_ebraw,sat_18_math,sat_18_total,act_18_participation,act_18_composite
Alabama,0.06,595.0,571.0,1166.0,1.0,19.1
Alaska,0.43,562.0,544.0,1106.0,0.33,20.8
Arizona,0.29,577.0,572.0,1149.0,0.66,19.2
Arkansas,0.05,592.0,576.0,1169.0,1.0,19.4
California,0.6,540.0,536.0,1076.0,0.27,22.7
Colorado,1.0,519.0,506.0,1025.0,0.3,23.9
Connecticut,1.0,535.0,519.0,1053.0,0.26,25.6
Delaware,1.0,505.0,492.0,998.0,0.17,23.8
Florida,0.56,550.0,549.0,1099.0,0.66,19.9
Georgia,0.7,542.0,522.0,1064.0,0.53,21.4
Hawaii,0.56,480.0,530.0,1010.0,0.89,18.9
Idaho,1.0,508.0,493.0,1001.0,0.36,22.3
Illinois,0.99,513.0,506.0,1019.0,0.43,23.9
Indiana,0.63,542.0,532.0,1074.0,0.32,22.5
Iowa,0.03,634.0,631.0,1265.0,0.68,21.8
Kansas,0.04,633.0,631.0,1265.0,0.71,21.6
Kentucky,0.04,630.0,618.0,1248.0,1.0,20.2
Louisiana,0.04,615.0,595.0,1210.0,1.0,19.2
Maine,0.99,512.0,501.0,1013.0,0.07,24.0
Maryland,0.76,545.0,535.0,1080.0,0.31,22.5
Massachusetts,0.8,562.0,563.0,1125.0,0.25,25.5
Michigan,1.0,511.0,499.0,1011.0,0.22,24.2
Minnesota,0.04,643.0,655.0,1298.0,0.99,21.3
Mississippi,0.03,630.0,606.0,1236.0,1.0,18.6
Missouri,0.04,633.0,629.0,1262.0,1.0,20.0
Montana,0.1,606.0,592.0,1198.0,1.0,20.0
Nebraska,0.03,629.0,623.0,1252.0,1.0,20.1
Nevada,0.23,574.0,566.0,1140.0,1.0,17.7
New Hampshire,0.96,535.0,528.0,1063.0,0.16,25.1
New Jersey,0.82,547.0,547.0,1094.0,0.31,23.7
New Mexico,0.16,552.0,540.0,1093.0,0.67,19.4
New York,0.79,534.0,534.0,1068.0,0.27,24.5
North Carolina,0.52,554.0,543.0,1098.0,1.0,19.1
North Dakota,0.02,640.0,643.0,1283.0,0.98,20.3
Oklahoma,0.08,541.0,521.0,1062.0,1.0,19.3
Ohio,0.18,552.0,547.0,1099.0,1.0,20.3
Oregon,0.48,564.0,553.0,1117.0,0.42,21.3
Pennsylvania,0.7,547.0,539.0,1086.0,0.2,23.5
Rhode Island,0.97,513.0,505.0,1018.0,0.15,24.2
South Carolina,0.55,547.0,523.0,1070.0,1.0,18.3
South Dakota,0.03,622.0,618.0,1240.0,0.77,21.9
Tennessee,0.06,624.0,607.0,1231.0,1.0,19.6
Texas,0.66,520.0,512.0,1032.0,0.45,20.7
Utah,0.04,480.0,530.0,1010.0,1.0,20.4
Vermont,0.64,565.0,554.0,1120.0,0.24,24.1
Virginia,0.68,567.0,550.0,1117.0,0.24,23.9
Washington,0.69,543.0,538.0,1081.0,0.24,22.2
West Virginia,0.28,513.0,486.0,999.0,0.65,20.3
Wisconsin,0.03,641.0,653.0,1294.0,1.0,20.5
Wyoming,0.03,633.0,625.0,1257.0,1.0,20.0
